Date,Open,High,Low,Close*,Adj Close**,Volume
"Jan 21, 2019","1,282.50","1,297.40","1,278.50","1,297.40","1,297.40",22
"Jan 14, 2019","1,292.40","1,293.90","1,281.30","1,281.30","1,281.30",25
"Jan 07, 2019","1,286.80","1,291.20","1,278.20","1,287.10","1,287.10",169
"Dec 31, 2018","1,278.00","1,294.20","1,275.30","1,282.70","1,282.70",212
"Dec 24, 2018","1,260.30","1,280.10","1,260.30","1,279.90","1,279.90","1,375"
"Dec 17, 2018","1,239.30","1,263.60","1,239.30","1,253.80","1,253.80",454
"Dec 10, 2018","1,249.60","1,249.60","1,234.10","1,237.00","1,237.00",559
"Dec 03, 2018","1,222.50","1,249.80","1,221.30","1,246.80","1,246.80","1,995"
"Nov 26, 2018","1,220.20","1,228.70","1,211.20","1,220.20","1,220.20","304,713"
"Nov 19, 2018","1,223.10","1,228.80","1,219.00","1,221.00","1,221.00",13
"Nov 12, 2018","1,201.60","1,223.80","1,196.30","1,220.80","1,220.80",11
"Nov 05, 2018","1,230.60","1,233.80","1,206.40","1,206.40","1,206.40",36
"Oct 28, 2018","1,224.50","1,236.00","1,212.00","1,230.90","1,230.90",439
"Oct 21, 2018","1,224.50","1,238.60","1,219.60","1,232.50","1,232.50",114
"Oct 14, 2018","1,222.40","1,232.30","1,222.40","1,225.30","1,225.30",783
"Oct 07, 2018","1,201.00","1,224.60","1,183.70","1,218.10","1,218.10","1,585"
"Sep 30, 2018","1,191.60","1,206.00","1,185.80","1,201.20","1,201.20","1,237"
"Sep 23, 2018","1,199.30","1,202.80","1,180.00","1,191.50","1,191.50","23,229"
"Sep 16, 2018","1,199.70","1,206.20","1,196.20","1,196.20","1,196.20",2
"Sep 09, 2018","1,193.00","1,205.00","1,190.40","1,195.00","1,195.00",92
"Sep 02, 2018","1,193.80","1,202.00","1,189.90","1,193.60","1,193.60",83
"Aug 26, 2018","1,210.30","1,217.00","1,196.00","1,200.30","1,200.30","1,791"
"Aug 19, 2018","1,184.80","1,208.00","1,184.40","1,206.30","1,206.30",214
"Aug 12, 2018","1,207.00","1,207.40","1,161.40","1,176.50","1,176.50",430
"Aug 05, 2018","1,214.40","1,216.40","1,205.60","1,211.10","1,211.10","1,340"
"Jul 29, 2018","1,222.50","1,228.10","1,205.10","1,214.20","1,214.20","67,182"
"Jul 22, 2018","1,222.00","1,231.40","1,222.00","1,222.60","1,222.60","254,430"
